Gender,Age,family_history_with_overweight,FAVC,NCP,CAEC,CH2O,FAF,CALC,MTRANS,NObeyesdad
Male,40,yes,yes,2,Sometimes,1.73,0,Sometimes,Automobile,Obesity_Type_II
Female,39,no,yes,3,Sometimes,1.35,0,Sometimes,Automobile,Overweight_Level_I
Male,39,yes,yes,3,Sometimes,1.0,1,no,Automobile,Obesity_Type_II
Male,39,yes,yes,2,Sometimes,2.5,2,Sometimes,Automobile,Obesity_Type_I
Male,39,yes,yes,2,Sometimes,2.92,2,Frequently,Automobile,Obesity_Type_I
Male,39,yes,yes,2,Sometimes,2.79,1,Sometimes,Automobile,Obesity_Type_I
Female,39,yes,yes,2,Sometimes,1.47,0,no,Automobile,Obesity_Type_I
Male,39,yes,yes,1,Sometimes,1.95,0,no,Automobile,Overweight_Level_II
Male,39,yes,yes,1,Sometimes,2.69,2,Frequently,Automobile,Obesity_Type_I
Female,39,yes,yes,1,Sometimes,2.44,0,no,Automobile,Overweight_Level_II
Female,39,yes,yes,1,Sometimes,1.94,1,Sometimes,Automobile,Obesity_Type_I
Female,39,yes,yes,3,Sometimes,2.4,0,Sometimes,Automobile,Overweight_Level_I
Female,39,yes,yes,1,Sometimes,1.93,1,Sometimes,Automobile,Obesity_Type_I
Female,39,yes,yes,3,Sometimes,2.99,0,no,Automobile,Overweight_Level_II
Female,39,yes,yes,3,Sometimes,1.0,0,Sometimes,Automobile,Obesity_Type_I
Female,39,yes,yes,3,Sometimes,1.19,0,Sometimes,Automobile,Obesity_Type_I
Female,39,yes,yes,3,Sometimes,1.44,0,Sometimes,Automobile,Obesity_Type_I
Male,39,yes,yes,3,Sometimes,2.01,0,Sometimes,Automobile,Obesity_Type_II
Female,38,yes,yes,3,Sometimes,2.53,0,Sometimes,Automobile,Overweight_Level_I
Female,38,yes,yes,3,Sometimes,2.97,2,Sometimes,Automobile,Overweight_Level_I
Female,38,no,yes,3,Sometimes,1.13,2,Sometimes,Automobile,Overweight_Level_I
Female,38,yes,yes,1,Sometimes,1.39,1,Sometimes,Automobile,Obesity_Type_I
Male,38,yes,yes,1,Sometimes,2.76,0,Sometimes,Automobile,Overweight_Level_II
Male,38,yes,yes,1,Sometimes,2.64,2,Frequently,Automobile,Obesity_Type_I
Male,38,yes,yes,2,Sometimes,1.88,0,Sometimes,Automobile,Obesity_Type_II
Female,38,yes,yes,2,Sometimes,2.87,0,Sometimes,Automobile,Overweight_Level_I
Female,38,yes,yes,3,Sometimes,1.0,0,Sometimes,Automobile,Obesity_Type_I
Male,38,yes,yes,2,Sometimes,1.83,0,Sometimes,Automobile,Obesity_Type_II
Female,38,yes,yes,3,Sometimes,1.08,0,Sometimes,Automobile,Obesity_Type_I
Female,38,yes,yes,3,Sometimes,1.1,0,Sometimes,Automobile,Obesity_Type_I
Male,38,yes,yes,2,Sometimes,1.75,0,Sometimes,Automobile,Obesity_Type_II
Female,38,yes,yes,3,Sometimes,2.98,0,no,Automobile,Overweight_Level_II
Female,38,yes,yes,3,Sometimes,1.44,0,Sometimes,Automobile,Obesity_Type_I
Female,38,yes,yes,1,Sometimes,1.4,1,Sometimes,Automobile,Obesity_Type_I
Female,38,yes,yes,3,Sometimes,2.5,0,no,Automobile,Overweight_Level_II
Female,38,yes,yes,3,Sometimes,1.03,0,no,Automobile,Overweight_Level_II
Male,38,yes,yes,2,Sometimes,2.18,2,Frequently,Automobile,Obesity_Type_I
Female,38,yes,yes,3,Sometimes,1.27,0,Sometimes,Automobile,Obesity_Type_I
Male,38,yes,yes,2,Sometimes,1.9,0,Sometimes,Automobile,Obesity_Type_II
Male,38,yes,yes,2,Sometimes,1.96,0,Sometimes,Automobile,Obesity_Type_II
Female,38,yes,yes,1,Sometimes,1.97,1,Sometimes,Automobile,Obesity_Type_I
Female,38,yes,yes,3,Sometimes,2.17,0,no,Automobile,Overweight_Level_II
Male,37,yes,yes,2,Sometimes,1.8,0,Sometimes,Automobile,Obesity_Type_II
Female,37,yes,yes,2,Sometimes,1.57,0,Sometimes,Automobile,Obesity_Type_I
Female,37,yes,yes,1,Sometimes,1.89,1,Sometimes,Automobile,Obesity_Type_I
Female,37,yes,yes,1,Sometimes,1.46,1,Sometimes,Automobile,Obesity_Type_I
Male,37,yes,yes,1,Sometimes,2.86,2,Sometimes,Automobile,Obesity_Type_I
Female,37,yes,yes,1,Sometimes,1.94,1,Sometimes,Automobile,Obesity_Type_I
Female,37,yes,yes,1,Sometimes,1.93,1,Sometimes,Automobile,Obesity_Type_I
Male,37,yes,yes,2,Sometimes,2.04,0,Sometimes,Automobile,Obesity_Type_II
Female,37,yes,yes,3,Sometimes,1.74,0,no,Automobile,Overweight_Level_II
Male,37,yes,yes,3,Sometimes,2.02,0,Sometimes,Automobile,Obesity_Type_II
Female,37,yes,yes,2,Sometimes,1.54,1,Sometimes,Automobile,Obesity_Type_I
Female,37,yes,yes,2,Sometimes,1.62,0,Sometimes,Automobile,Obesity_Type_I
Female,37,yes,yes,2,Sometimes,1.34,0,Sometimes,Automobile,Obesity_Type_I
Male,37,yes,yes,2,Sometimes,1.89,0,Sometimes,Automobile,Obesity_Type_II
Female,37,yes,yes,3,Sometimes,1.64,0,Sometimes,Automobile,Obesity_Type_I
Female,37,yes,yes,3,Sometimes,2.1,0,Sometimes,Automobile,Obesity_Type_I
Female,37,yes,yes,3,Sometimes,1.52,0,no,Automobile,Overweight_Level_II
Male,37,yes,yes,1,Sometimes,2.77,1,Sometimes,Automobile,Overweight_Level_II
Female,37,yes,yes,2,Sometimes,1.55,1,Sometimes,Automobile,Obesity_Type_I
Female,37,yes,yes,1,Sometimes,2.0,0,Sometimes,Automobile,Overweight_Level_I
Female,37,yes,yes,2,Sometimes,1.6,1,Sometimes,Automobile,Obesity_Type_I
Female,37,yes,yes,3,Sometimes,1.63,0,Sometimes,Automobile,Obesity_Type_I
Male,37,yes,yes,1,Sometimes,2.27,0,no,Automobile,Overweight_Level_II
Female,37,yes,yes,3,Sometimes,2.0,2,Sometimes,Automobile,Overweight_Level_I
Male,37,yes,yes,2,Sometimes,1.89,0,Sometimes,Automobile,Obesity_Type_II
Female,37,yes,yes,2,Sometimes,1.65,0,no,Automobile,Overweight_Level_II
Male,37,yes,yes,3,Sometimes,1.0,1,no,Public_Transportation,Obesity_Type_II
Male,37,yes,yes,3,Sometimes,2.01,0,Sometimes,Automobile,Obesity_Type_II
Female,37,yes,yes,3,Sometimes,1.76,0,Sometimes,Automobile,Obesity_Type_I
Male,37,yes,yes,3,Sometimes,2.08,0,Sometimes,Automobile,Obesity_Type_II
Male,36,yes,yes,2,Sometimes,1.0,1,no,Automobile,Obesity_Type_II
Female,36,yes,yes,3,Sometimes,2.95,0,Sometimes,Automobile,Overweight_Level_I
Male,36,yes,yes,2,Sometimes,2.85,2,Frequently,Automobile,Obesity_Type_I
Male,36,yes,yes,1,Sometimes,2.93,2,Frequently,Automobile,Obesity_Type_I
Male,36,yes,yes,1,Sometimes,2.79,2,Sometimes,Automobile,Obesity_Type_I
Female,36,yes,yes,2,Sometimes,2.64,0,Sometimes,Automobile,Overweight_Level_I
Male,36,yes,yes,3,Sometimes,2.03,0,Sometimes,Automobile,Obesity_Type_II
Female,36,yes,yes,1,Sometimes,2.0,1,no,Automobile,Overweight_Level_II
Male,36,yes,yes,1,Sometimes,2.45,1,Sometimes,Automobile,Obesity_Type_I
Male,35,yes,yes,1,Sometimes,2.14,1,no,Automobile,Overweight_Level_II
Female,35,yes,no,2,Sometimes,1.62,0,Sometimes,Automobile,Overweight_Level_I
Female,35,yes,yes,2,Sometimes,1.22,0,no,Automobile,Overweight_Level_II
Female,35,yes,yes,3,Sometimes,1.99,0,no,Automobile,Overweight_Level_II
Male,35,yes,yes,1,Sometimes,3.0,2,Frequently,Automobile,Obesity_Type_I
Male,35,yes,yes,1,Sometimes,3.0,2,Sometimes,Automobile,Obesity_Type_I
Male,35,yes,yes,2,Sometimes,1.29,0,Sometimes,Automobile,Overweight_Level_II
Female,35,yes,no,2,Sometimes,1.59,0,Sometimes,Automobile,Overweight_Level_I
Female,35,no,yes,2,Sometimes,1.46,0,Sometimes,Automobile,Overweight_Level_I
Male,34,yes,yes,2,Sometimes,2.78,2,no,Automobile,Overweight_Level_II
Male,34,yes,yes,3,Sometimes,3.0,2,no,Automobile,Overweight_Level_II
Male,34,yes,yes,1,Sometimes,2.17,0,Sometimes,Automobile,Overweight_Level_II
Female,34,yes,yes,3,Frequently,1.6,0,no,Public_Transportation,Insufficient_Weight
Female,34,yes,yes,2,Sometimes,1.51,0,Sometimes,Automobile,Overweight_Level_I
Male,34,yes,yes,3,Sometimes,2.98,1,no,Automobile,Overweight_Level_II
Male,34,yes,yes,2,Sometimes,1.0,1,no,Automobile,Obesity_Type_II
Male,34,yes,yes,3,Sometimes,2.65,1,no,Automobile,Overweight_Level_II
Male,34,yes,yes,2,Sometimes,2.61,1,no,Automobile,Overweight_Level_II
Male,34,yes,yes,1,Sometimes,2.48,0,no,Automobile,Overweight_Level_II
Female,34,yes,yes,1,Sometimes,2.0,0,no,Automobile,Overweight_Level_II
Female,34,yes,yes,1,Sometimes,1.64,0,no,Automobile,Overweight_Level_II
Male,34,yes,yes,1,Sometimes,3.0,1,Sometimes,Automobile,Overweight_Level_II
Female,34,yes,yes,1,Sometimes,1.72,0,no,Automobile,Overweight_Level_II
Male,34,yes,yes,2,Sometimes,2.63,1,Sometimes,Automobile,Overweight_Level_II
Female,34,yes,yes,1,Sometimes,2.09,0,no,Automobile,Overweight_Level_II
Male,34,yes,yes,3,Sometimes,2.8,1,no,Automobile,Overweight_Level_II
Female,34,yes,yes,3,Sometimes,2.64,0,no,Automobile,Overweight_Level_II
Female,34,yes,yes,1,Sometimes,1.92,0,no,Automobile,Overweight_Level_II
Male,34,yes,yes,2,Sometimes,1.46,1,no,Public_Transportation,Obesity_Type_II
Male,34,yes,no,3,Sometimes,2.17,1,Sometimes,Automobile,Obesity_Type_II
Male,34,yes,yes,2,Sometimes,1.26,0,Sometimes,Automobile,Overweight_Level_II
Female,34,yes,yes,1,Sometimes,1.87,0,no,Automobile,Overweight_Level_II
Female,33,yes,yes,2,Sometimes,2.0,1,no,Automobile,Overweight_Level_II
Female,33,yes,yes,2,Sometimes,1.87,0,no,Automobile,Overweight_Level_II
Male,33,yes,yes,2,Sometimes,1.0,1,no,Public_Transportation,Obesity_Type_II
Male,33,yes,yes,2,Sometimes,1.0,1,no,Automobile,Obesity_Type_II
Female,33,yes,yes,1,Sometimes,1.0,0,Sometimes,Automobile,Overweight_Level_I
Male,33,yes,yes,2,Sometimes,1.0,1,no,Public_Transportation,Obesity_Type_II
Female,33,yes,no,1,Sometimes,1.07,0,Sometimes,Automobile,Overweight_Level_I
Female,33,yes,yes,2,Sometimes,2.0,1,no,Automobile,Overweight_Level_II
Male,33,yes,yes,2,Sometimes,1.0,1,no,Public_Transportation,Obesity_Type_II
Male,33,yes,yes,2,Sometimes,1.0,1,no,Public_Transportation,Obesity_Type_II
Male,33,yes,yes,2,Sometimes,2.25,2,no,Automobile,Overweight_Level_II
Female,33,yes,yes,2,Sometimes,1.05,0,Sometimes,Automobile,Overweight_Level_I
Female,33,yes,yes,2,Sometimes,1.51,0,Sometimes,Automobile,Obesity_Type_I
Male,33,yes,yes,1,Sometimes,3.0,1,Sometimes,Automobile,Overweight_Level_II
Male,33,yes,yes,1,Sometimes,3.0,1,Sometimes,Automobile,Overweight_Level_II
Male,33,yes,yes,3,Sometimes,2.1,0,Sometimes,Automobile,Obesity_Type_II
Male,33,yes,yes,2,Sometimes,2.45,0,no,Automobile,Overweight_Level_II
Male,33,no,yes,2,Sometimes,1.86,2,no,Automobile,Overweight_Level_I
Male,33,yes,yes,2,Sometimes,2.99,2,no,Automobile,Overweight_Level_II
Male,33,yes,yes,1,Sometimes,2.01,2,no,Automobile,Overweight_Level_II
Male,33,yes,yes,1,Sometimes,2.41,2,no,Automobile,Overweight_Level_II
Male,33,yes,yes,3,Sometimes,2.21,1,no,Automobile,Overweight_Level_II
Male,33,yes,yes,3,Sometimes,2.04,1,no,Automobile,Overweight_Level_II
Female,32,yes,yes,1,Sometimes,1.0,0,Sometimes,Automobile,Overweight_Level_I
Male,32,yes,yes,1,Sometimes,2.6,2,Sometimes,Automobile,Obesity_Type_I
Male,32,yes,yes,2,Sometimes,1.0,1,no,Public_Transportation,Obesity_Type_II
Male,32,yes,yes,1,Sometimes,2.2,1,Sometimes,Automobile,Overweight_Level_II
Male,32,yes,yes,2,Sometimes,2.18,1,Sometimes,Walking,Overweight_Level_II
Male,32,yes,yes,2,Sometimes,1.0,1,no,Public_Transportation,Obesity_Type_II
Male,32,yes,yes,3,Sometimes,1.92,0,no,Automobile,Overweight_Level_II
Female,32,yes,yes,3,Sometimes,1.0,0,Sometimes,Automobile,Overweight_Level_I
Male,32,yes,yes,2,Sometimes,1.0,1,no,Public_Transportation,Obesity_Type_II
Female,32,yes,yes,1,Sometimes,1.0,0,Sometimes,Automobile,Overweight_Level_I
Female,32,yes,yes,3,Frequently,2.72,1,no,Public_Transportation,Insufficient_Weight
Male,32,yes,yes,3,Sometimes,2.53,0,Sometimes,Automobile,Obesity_Type_II
Female,32,yes,yes,2,Sometimes,1.02,0,Sometimes,Automobile,Overweight_Level_I
Male,32,yes,yes,1,Sometimes,1.0,1,no,Public_Transportation,Obesity_Type_II
Male,32,yes,yes,1,Sometimes,1.86,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,31,yes,yes,1,Sometimes,2.56,1,Sometimes,Automobile,Overweight_Level_II
Male,31,yes,yes,3,Sometimes,2.05,0,Sometimes,Automobile,Obesity_Type_II
Female,31,yes,yes,2,Sometimes,1.03,0,Sometimes,Automobile,Overweight_Level_I
Male,31,yes,yes,3,Sometimes,2.32,0,Sometimes,Automobile,Obesity_Type_II
Male,31,yes,yes,1,Sometimes,2.21,1,Sometimes,Automobile,Obesity_Type_I
Male,31,yes,yes,3,Sometimes,2.13,0,Sometimes,Automobile,Obesity_Type_II
Male,31,yes,yes,3,Sometimes,2.16,0,Sometimes,Automobile,Obesity_Type_II
Male,31,yes,yes,2,Sometimes,1.0,1,no,Public_Transportation,Obesity_Type_II
Male,31,yes,yes,3,Sometimes,2.17,1,Sometimes,Automobile,Obesity_Type_II
Male,31,yes,yes,2,Sometimes,2.54,1,Sometimes,Automobile,Overweight_Level_II
Male,31,yes,yes,2,Sometimes,2.04,0,Sometimes,Automobile,Obesity_Type_I
Male,31,yes,yes,1,Sometimes,2.1,1,Sometimes,Automobile,Obesity_Type_I
Male,31,yes,yes,3,Sometimes,2.46,0,Sometimes,Automobile,Obesity_Type_II
Female,31,yes,yes,3,Sometimes,1.0,0,Sometimes,Automobile,Overweight_Level_I
Male,31,yes,yes,3,Sometimes,2.08,1,Sometimes,Automobile,Obesity_Type_II
Male,31,yes,yes,3,Sometimes,2.15,0,Sometimes,Automobile,Obesity_Type_II
Male,31,yes,yes,2,Sometimes,2.04,0,Sometimes,Automobile,Overweight_Level_II
Female,31,yes,yes,3,Sometimes,1.0,0,Sometimes,Automobile,Overweight_Level_I
Male,31,yes,yes,3,Sometimes,2.11,0,Sometimes,Automobile,Obesity_Type_II
Male,31,yes,yes,3,Sometimes,1.37,0,no,Automobile,Overweight_Level_II
Male,31,yes,yes,3,Sometimes,1.28,0,Sometimes,Automobile,Obesity_Type_II
Male,31,yes,yes,2,Sometimes,2.55,1,Sometimes,Automobile,Overweight_Level_II
Male,31,yes,yes,1,Sometimes,2.0,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,31,yes,yes,2,Sometimes,2.66,1,Sometimes,Automobile,Obesity_Type_I
Female,31,yes,yes,2,Sometimes,1.51,0,Sometimes,Public_Transportation,Obesity_Type_I
Male,31,yes,yes,3,Sometimes,1.34,0,Sometimes,Public_Transportation,Obesity_Type_II
Male,31,yes,yes,3,Sometimes,2.3,0,Sometimes,Public_Transportation,Obesity_Type_II
Male,31,yes,yes,3,Sometimes,1.48,0,Sometimes,Public_Transportation,Obesity_Type_II
Male,31,yes,yes,1,Sometimes,1.36,1,Sometimes,Automobile,Obesity_Type_I
Male,31,yes,yes,3,Sometimes,1.18,0,Sometimes,Public_Transportation,Overweight_Level_II
Male,31,yes,yes,3,Sometimes,1.74,0,Sometimes,Automobile,Overweight_Level_II
Male,31,yes,yes,2,Sometimes,2.35,1,Sometimes,Automobile,Obesity_Type_I
Male,31,yes,yes,3,Sometimes,1.2,0,Sometimes,Public_Transportation,Overweight_Level_II
Female,31,yes,yes,3,Sometimes,1.77,0,Sometimes,Automobile,Overweight_Level_I
Male,31,yes,yes,3,Sometimes,1.49,1,Sometimes,Public_Transportation,Obesity_Type_II
Male,31,yes,yes,3,Sometimes,1.66,0,Sometimes,Public_Transportation,Obesity_Type_II
Male,31,yes,yes,3,Sometimes,1.97,0,no,Automobile,Obesity_Type_II
Male,31,yes,yes,3,Sometimes,1.28,0,Sometimes,Public_Transportation,Obesity_Type_II
Male,31,yes,yes,3,Sometimes,1.49,0,Sometimes,Public_Transportation,Obesity_Type_II
Female,31,yes,yes,3,Sometimes,1.31,0,Sometimes,Automobile,Overweight_Level_I
Male,31,yes,yes,3,Sometimes,1.13,0,Sometimes,Public_Transportation,Obesity_Type_II
Male,31,yes,yes,3,Sometimes,2.83,0,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.06,0,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,2,Sometimes,2.78,1,Sometimes,Automobile,Obesity_Type_I
Female,30,yes,yes,3,Sometimes,1.97,0,Sometimes,Automobile,Overweight_Level_I
Male,30,yes,yes,3,Sometimes,1.62,1,Sometimes,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.17,1,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.36,0,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,1.59,1,Sometimes,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,1.0,1,no,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,2,Sometimes,1.0,1,no,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,2,Sometimes,1.18,1,Sometimes,Automobile,Obesity_Type_I
Male,30,yes,yes,3,Sometimes,2.23,0,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.19,0,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,2,Sometimes,1.0,1,no,Public_Transportation,Obesity_Type_II
Female,30,yes,no,2,Sometimes,1.98,0,no,Public_Transportation,Overweight_Level_II
Male,30,yes,yes,3,Sometimes,1.11,0,Sometimes,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,1.51,0,Sometimes,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,2,Sometimes,1.0,1,no,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,1.01,0,Sometimes,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,2,Sometimes,1.18,0,no,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,2,Sometimes,1.25,1,no,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.38,0,Sometimes,Automobile,Obesity_Type_II
Female,30,yes,yes,3,Sometimes,1.13,0,Sometimes,Automobile,Overweight_Level_I
Male,30,yes,yes,3,Sometimes,2.36,0,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.24,1,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.28,0,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.17,1,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,1.36,1,Sometimes,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.3,0,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,1.52,0,Sometimes,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,1.83,0,Sometimes,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.15,0,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,1,Sometimes,1.79,0,Sometimes,Public_Transportation,Overweight_Level_II
Male,30,yes,yes,3,Sometimes,1.77,2,Sometimes,Automobile,Obesity_Type_I
Male,30,yes,yes,3,Sometimes,2.04,0,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.19,1,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.0,0,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,1.98,0,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.22,1,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,1,Sometimes,1.0,1,no,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,1.98,0,Sometimes,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,2,Sometimes,1.25,0,no,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,1.98,0,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,2,Sometimes,1.31,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,30,yes,yes,3,Sometimes,2.29,1,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,2,Sometimes,1.38,1,no,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,2,Sometimes,1.54,0,no,Public_Transportation,Obesity_Type_II
Female,30,yes,yes,3,Sometimes,1.0,0,Sometimes,Automobile,Overweight_Level_I
Male,30,yes,yes,3,Sometimes,2.21,1,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.15,0,no,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.02,0,Sometimes,Automobile,Obesity_Type_II
Female,30,yes,yes,1,Sometimes,1.8,0,no,Public_Transportation,Obesity_Type_I
Male,30,yes,yes,3,Sometimes,2.66,0,Sometimes,Public_Transportation,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,1.62,0,Sometimes,Public_Transportation,Overweight_Level_II
Male,30,yes,yes,3,Sometimes,1.84,0,no,Automobile,Overweight_Level_II
Male,30,yes,yes,3,Sometimes,2.02,0,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.0,0,Sometimes,Automobile,Obesity_Type_II
Male,30,yes,yes,3,Sometimes,2.0,0,Sometimes,Automobile,Obesity_Type_II
Male,29,yes,yes,3,Sometimes,2.04,0,Sometimes,Automobile,Obesity_Type_II
Female,29,yes,yes,3,Frequently,2.0,0,no,Public_Transportation,Insufficient_Weight
Male,29,yes,yes,3,Sometimes,1.72,0,Sometimes,Automobile,Overweight_Level_II
Female,29,yes,yes,3,Sometimes,1.83,0,Sometimes,Automobile,Overweight_Level_I
Male,29,yes,yes,3,Sometimes,1.8,1,Sometimes,Public_Transportation,Obesity_Type_II
Male,29,yes,yes,3,Sometimes,2.12,0,Sometimes,Automobile,Obesity_Type_II
Male,29,yes,yes,3,Sometimes,2.08,0,Sometimes,Automobile,Obesity_Type_II
Male,29,yes,yes,3,Sometimes,1.27,1,Sometimes,Automobile,Obesity_Type_I
Male,29,yes,yes,3,Sometimes,2.82,1,Sometimes,Public_Transportation,Obesity_Type_II
Male,29,yes,yes,1,Sometimes,1.35,0,no,Public_Transportation,Obesity_Type_II
Male,29,no,yes,3,Sometimes,1.17,2,no,Automobile,Overweight_Level_I
Male,29,yes,yes,3,Sometimes,1.12,1,Sometimes,Public_Transportation,Obesity_Type_II
Male,29,yes,yes,3,Sometimes,2.09,0,Sometimes,Automobile,Obesity_Type_II
Male,29,yes,yes,2,Sometimes,1.75,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,29,yes,yes,3,Sometimes,1.52,1,Sometimes,Public_Transportation,Obesity_Type_II
Male,29,yes,yes,2,Sometimes,2.22,1,Sometimes,Automobile,Obesity_Type_I
Male,29,yes,yes,3,Sometimes,1.34,1,Sometimes,Public_Transportation,Obesity_Type_II
Male,29,yes,yes,3,Sometimes,1.88,2,Sometimes,Automobile,Obesity_Type_I
